,Cruise,Inc,(hr),YYMMDD,Start(HHMM),End(HHMM),Depth(m),Chla(mg/m3),StdDev(mg/m3),mg/m3,mg/m3.1,Rep #1,Rep #2,Rep #3,Rep #1.1,Rep #2.1,Rep #3.1,PSS-78,#/ml,#/ml.1,#/ml.2,#/ml.3,Unnamed: 22
30,14,O,12.5,900215,710,1940,135,0.11,0.06,0.29,0.07,0.17,0.17,0.1,0.1,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
31,14,O,12.5,900215,710,1940,160,0.04,0.0,0.06,0.0,0.12,0.08,0.11,0.11,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
32,15,I,13.5,900319,600,1930,5,0.09,-9.0,0.05,-9.0,4.26,4.37,3.98,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222999999
33,15,I,13.5,900319,600,1930,25,0.11,-9.0,0.04,-9.0,4.14,3.7,3.09,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222999999
34,15,I,13.5,900319,600,1930,45,0.1,-9.0,0.05,-9.0,4.93,4.65,4.41,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222999999
35,15,I,13.5,900319,600,1930,75,0.17,-9.0,0.08,-9.0,4.77,4.95,4.8,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222999999
36,15,I,13.5,900319,600,1930,100,0.2,-9.0,0.15,-9.0,3.71,3.44,3.34,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222999999
37,15,I,13.5,900319,600,1930,125,0.27,-9.0,0.23,-9.0,1.76,1.63,1.78,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222999999
38,15,I,13.5,900319,600,1930,150,0.05,-9.0,0.11,-9.0,0.3,0.28,0.27,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222999999
39,15,I,13.5,900319,600,1930,175,0.04,-9.0,0.05,-9.0,0.12,0.13,0.15,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222999999
40,15,O,12.75,900319,615,1900,5,0.09,-9.0,0.05,-9.0,7.78,7.97,-9.0,0.23,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
41,15,O,12.75,900319,615,1900,25,0.11,-9.0,0.04,-9.0,5.39,6.18,-9.0,0.23,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
42,15,O,12.75,900319,615,1900,45,0.1,-9.0,0.05,-9.0,3.5,3.85,-9.0,0.21,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
43,15,O,12.75,900319,615,1900,75,0.17,-9.0,0.08,-9.0,1.08,1.24,-9.0,0.14,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
44,15,O,12.75,900319,615,1900,100,0.2,-9.0,0.15,-9.0,1.5,1.2,-9.0,0.18,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
45,15,O,12.75,900319,615,1900,125,0.27,-9.0,0.23,-9.0,0.64,0.81,-9.0,0.1,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
46,15,O,12.75,900319,615,1900,150,0.05,-9.0,0.11,-9.0,0.14,0.14,-9.0,0.1,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
47,15,O,12.75,900319,615,1900,175,0.04,-9.0,0.05,-9.0,0.12,0.1,-9.0,0.09,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
48,16,I,12.75,900413,630,1920,2,0.09,0.0,0.09,0.0,2.36,3.04,-9.0,0.48,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
49,16,I,12.75,900413,630,1920,10,0.1,0.0,0.06,0.01,1.22,0.74,-9.0,0.13,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
50,16,I,12.75,900413,630,1920,40,0.13,0.0,0.04,0.0,2.91,1.91,-9.0,0.18,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
51,16,I,12.75,900413,630,1920,80,0.17,0.01,0.09,0.01,2.24,1.47,-9.0,0.13,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
52,16,I,12.75,900413,630,1920,95,0.23,0.06,0.14,0.07,4.75,4.41,-9.0,0.13,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
53,16,I,12.75,900413,630,1920,120,0.32,0.02,0.29,0.02,2.29,1.51,-9.0,0.12,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
54,16,I,12.75,900413,630,1920,145,0.13,0.01,0.26,0.01,1.13,0.58,-9.0,0.04,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
55,16,I,12.75,900413,630,1920,175,0.08,0.01,0.16,0.01,0.14,0.12,-9.0,0.04,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
56,16,O,12.75,900413,630,1920,2,0.09,0.0,0.09,0.0,3.39,4.91,-9.0,0.13,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
57,16,O,12.75,900413,630,1920,10,0.1,0.0,0.06,0.01,2.11,3.32,-9.0,0.15,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
58,16,O,12.75,900413,630,1920,40,0.13,0.0,0.04,0.0,2.33,2.52,-9.0,0.18,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
59,16,O,12.75,900413,630,1920,80,0.17,0.01,0.09,0.01,1.13,2.01,-9.0,0.21,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
60,16,O,12.75,900413,630,1920,95,0.23,0.06,0.14,0.07,1.03,1.19,-9.0,0.07,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
61,16,O,12.75,900413,630,1920,120,0.32,0.02,0.29,0.02,0.32,0.48,-9.0,0.05,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
62,16,O,12.75,900413,630,1920,145,0.13,0.01,0.26,0.01,0.1,0.1,-9.0,0.04,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
63,16,O,12.75,900413,630,1920,175,0.08,0.01,0.16,0.01,0.04,0.04,-9.0,0.03,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
64,17,I,13.75,900509,545,1930,5,0.03,0.0,0.18,0.01,6.93,5.85,-9.0,0.1,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
65,17,I,13.75,900509,545,1930,25,0.1,0.0,0.04,0.0,2.6,3.14,-9.0,0.13,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
66,17,I,13.75,900509,545,1930,45,0.11,0.01,0.05,0.01,6.08,5.16,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222599999
67,17,I,13.75,900509,545,1930,75,0.14,0.01,0.07,0.0,2.37,3.44,-9.0,0.14,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
68,17,I,13.75,900509,545,1930,100,0.5,0.0,0.49,0.03,3.82,5.55,-9.0,0.08,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
69,17,I,13.75,900509,545,1930,125,0.28,0.01,0.37,0.03,1.17,1.03,-9.0,0.03,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
70,17,I,13.75,900509,545,1930,150,0.1,0.0,0.14,0.0,-9.0,0.17,-9.0,0.03,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
71,17,I,13.75,900509,545,1930,175,0.06,0.0,0.12,0.01,0.08,0.06,-9.0,0.06,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
72,17,O,13.75,900509,545,1930,5,0.03,0.0,0.18,0.01,7.45,7.18,-9.0,0.09,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
73,17,O,13.75,900509,545,1930,25,0.1,0.0,0.04,0.0,6.78,6.33,-9.0,0.17,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
74,17,O,13.75,900509,545,1930,45,0.11,0.01,0.05,0.01,4.73,1.06,-9.0,0.21,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
75,17,O,13.75,900509,545,1930,75,0.14,0.01,0.07,0.0,0.9,1.8,-9.0,0.19,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
76,17,O,13.75,900509,545,1930,100,0.5,0.0,0.49,0.03,3.42,4.77,-9.0,0.0,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
77,17,O,13.75,900509,545,1930,125,0.28,0.01,0.37,0.03,0.88,0.6,-9.0,0.05,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
78,17,O,13.75,900509,545,1930,150,0.1,0.0,0.14,0.0,0.08,0.08,-9.0,0.07,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
79,17,O,13.75,900509,545,1930,175,0.06,0.0,0.12,0.01,0.04,0.03,-9.0,0.1,-9.0,-9.0,-9.0,-9,-9,-9,-9,2222299999
